Id,Id2,Geography,Total
0600000US2700525820,2700525820,"Green Valley township, Becker County, Minnesota",376
0600000US2700526684,2700526684,"Hamden township, Becker County, Minnesota",206
0600000US2700528250,2700528250,"Height of Land township, Becker County, Minnesota",673
0600000US2700529816,2700529816,"Holmesville township, Becker County, Minnesota",505
0600000US2700534298,2700534298,"Lake Eunice township, Becker County, Minnesota",1538
0600000US2700534784,2700534784,"Lake Park city, Becker County, Minnesota",783
0600000US2700534802,2700534802,"Lake Park township, Becker County, Minnesota",481
0600000US2700535144,2700535144,"Lake View township, Becker County, Minnesota",1685
0600000US2700540130,2700540130,"Maple Grove township, Becker County, Minnesota",455
0600000US2700548130,2700548130,"Ogema city, Becker County, Minnesota",184
0600000US2700548778,2700548778,"Osage township, Becker County, Minnesota",895
0600000US2700551244,2700551244,"Pine Point township, Becker County, Minnesota",400
0600000US2700554142,2700554142,"Riceville township, Becker County, Minnesota",83
0600000US2700554376,2700554376,"Richwood township, Becker County, Minnesota",662
0600000US2700556050,2700556050,"Round Lake township, Becker County, Minnesota",183
0600000US2700556248,2700556248,"Runeberg township, Becker County, Minnesota",486
0600000US2700558756,2700558756,"Savannah township, Becker County, Minnesota",163
0600000US2700559512,2700559512,"Shell Lake township, Becker County, Minnesota",293
0600000US2700560430,2700560430,"Silver Leaf township, Becker County, Minnesota",534
0600000US2700561762,2700561762,"Spring Creek township, Becker County, Minnesota",114
0600000US2700562212,2700562212,"Spruce Grove township, Becker County, Minnesota",405
0600000US2700563256,2700563256,"Sugar Bush township, Becker County, Minnesota",504
0600000US2700565002,2700565002,"Toad Lake township, Becker County, Minnesota",539
0600000US2700566010,2700566010,"Two Inlets township, Becker County, Minnesota",213
0600000US2700567954,2700567954,"Walworth township, Becker County, Minnesota",87
0600000US2700570024,2700570024,"White Earth township, Becker County, Minnesota",828
0600000US2700571338,2700571338,"Wolf Lake city, Becker County, Minnesota",57
0600000US2700571356,2700571356,"Wolf Lake township, Becker County, Minnesota",242
0600000US2700700586,2700700586,"Alaska township, Beltrami County, Minnesota",217
0600000US2700703952,2700703952,"Battle township, Beltrami County, Minnesota",46
0600000US2700705068,2700705068,"Bemidji city, Beltrami County, Minnesota",13431
0600000US2700705086,2700705086,"Bemidji township, Beltrami County, Minnesota",3134
0600000US2700705284,2700705284,"Benville township, Beltrami County, Minnesota",86
0600000US2700705914,2700705914,"Birch township, Beltrami County, Minnesota",118
0600000US2700706256,2700706256,"Blackduck city, Beltrami County, Minnesota",785
0600000US2700707918,2700707918,"Brook Lake UT, Beltrami County, Minnesota",233
0600000US2700709082,2700709082,"Buzzle township, Beltrami County, Minnesota",310
0600000US2700713258,2700713258,"Cormant township, Beltrami County, Minnesota",158
0600000US2700717234,2700717234,"Durand township, Beltrami County, Minnesota",209
0600000US2700717954,2700717954,"Eckles township, Beltrami County, Minnesota",1516
0600000US2700722886,2700722886,"Frohn township, Beltrami County, Minnesota",1433
0600000US2700722976,2700722976,"Funkley city, Beltrami County, Minnesota",5
0600000US2700725352,2700725352,"Grant Valley township, Beltrami County, Minnesota",2029
0600000US2700726468,2700726468,"Hagali township, Beltrami County, Minnesota",372
0600000US2700726900,2700726900,"Hamre township, Beltrami County, Minnesota",13
0600000US2700729348,2700729348,"Hines township, Beltrami County, Minnesota",689
0600000US2700730194,2700730194,"Hornet township, Beltrami County, Minnesota",232
0600000US2700732120,2700732120,"Jones township, Beltrami County, Minnesota",277
0600000US2700732606,2700732606,"Kelliher city, Beltrami County, Minnesota",262
0600000US2700732624,2700732624,"Kelliher township, Beltrami County, Minnesota",130
0600000US2700735324,2700735324,"Lammers township, Beltrami County, Minnesota",592
0600000US2700735540,2700735540,"Langor township, Beltrami County, Minnesota",213
0600000US2700736170,2700736170,"Lee township, Beltrami County, Minnesota",51
0600000US2700736926,2700736926,"Liberty township, Beltrami County, Minnesota",730
0600000US2700738335,2700738335,"Lower Red Lake UT, Beltrami County, Minnesota",5790
0600000US2700740274,2700740274,"Maple Ridge township, Beltrami County, Minnesota",104
0600000US2700743360,2700743360,"Minnie township, Beltrami County, Minnesota",26
0600000US2700743936,2700743936,"Moose Lake township, Beltrami County, Minnesota",226
0600000US2700745088,2700745088,"Nebish township, Beltrami County, Minnesota",290
0600000US2700746770,2700746770,"North Beltrami UT, Beltrami County, Minnesota",34
0600000US2700746906,2700746906,"Northern township, Beltrami County, Minnesota",4657
0600000US2700748040,2700748040,"O'Brien township, Beltrami County, Minnesota",58
0600000US2700752162,2700752162,"Port Hope township, Beltrami County, Minnesota",673
0600000US2700752828,2700752828,"Quiring township, Beltrami County, Minnesota",70
0600000US2700755402,2700755402,"Roosevelt township, Beltrami County, Minnesota",225
0600000US2700759926,2700759926,"Shooks township, Beltrami County, Minnesota",189
0600000US2700760070,2700760070,"Shotley township, Beltrami County, Minnesota",35
0600000US2700760079,2700760079,"Shotley Brook UT, Beltrami County, Minnesota",25
0600000US2700761114,2700761114,"Solway city, Beltrami County, Minnesota",96
0600000US2700762230,2700762230,"Spruce Grove township, Beltrami County, Minnesota",55
0600000US2700762680,2700762680,"Steenerson township, Beltrami County, Minnesota",23
0600000US2700763274,2700763274,"Sugar Bush township, Beltrami County, Minnesota",247
0600000US2700763328,2700763328,"Summit township, Beltrami County, Minnesota",251
0600000US2700764291,2700764291,"Taylor township, Beltrami County, Minnesota",104
0600000US2700764390,2700764390,"Ten Lake township, Beltrami County, Minnesota",1026
0600000US2700764444,2700764444,"Tenstrike city, Beltrami County, Minnesota",201
0600000US2700765758,2700765758,"Turtle Lake township, Beltrami County, Minnesota",1195
0600000US2700765794,2700765794,"Turtle River city, Beltrami County, Minnesota",77
0600000US2700765812,2700765812,"Turtle River township, Beltrami County, Minnesota",1085
0600000US2700766307,2700766307,"Upper Red Lake UT, Beltrami County, Minnesota",14
0600000US2700768440,2700768440,"Waskish township, Beltrami County, Minnesota",118
0600000US2700770708,2700770708,"Wilton city, Beltrami County, Minnesota",204
0600000US2700771590,2700771590,"Woodrow township, Beltrami County, Minnesota",73
0600000US2700900668,2700900668,"Alberta township, Benton County, Minnesota",818
0600000US2700921536,2700921536,"Foley city, Benton County, Minnesota",2603
0600000US2700923804,2700923804,"Gilman city, Benton County, Minnesota",224
0600000US2700923822,2700923822,"Gilmanton township, Benton County, Minnesota",841
0600000US2700924020,2700924020,"Glendorado township, Benton County, Minnesota",762
0600000US2700924812,2700924812,"Graham township, Benton County, Minnesota",582
0600000US2700925298,2700925298,"Granite Ledge township, Benton County, Minnesota",743
0600000US2700935522,2700935522,"Langola township, Benton County, Minnesota",906
0600000US2700941192,2700941192,"Mayhew Lake township, Benton County, Minnesota",831
0600000US2700941264,2700941264,"Maywood township, Benton County, Minnesota",954
0600000US2700942434,2700942434,"Minden township, Benton County, Minnesota",1664
0600000US2700953998,2700953998,"Rice city, Benton County, Minnesota",1275
0600000US2700956176,2700956176,"Royalton city, Benton County, Minnesota",3
0600000US2700956896,2700956896,"St. Cloud city, Benton County, Minnesota",6396
0600000US2700956986,2700956986,"St. George township, Benton County, Minnesota",1153
0600000US2700958612,2700958612,"Sartell city, Benton County, Minnesota",2246
0600000US2700958684,2700958684,"Sauk Rapids city, Benton County, Minnesota",12773
0600000US2700958702,2700958702,"Sauk Rapids township, Benton County, Minnesota",584
