Id,Id2,Geography,pop2016,Margin of Error; Total
0600000US2700517455,2700517455,"Eagle View township, Becker County, Minnesota",150,38
0600000US2700519646,2700519646,"Erie township, Becker County, Minnesota",1831,221
0600000US2700520006,2700520006,"Evergreen township, Becker County, Minnesota",373,68
0600000US2700521671,2700521671,"Forest township, Becker County, Minnesota",108,20
0600000US2700522472,2700522472,"Frazee city, Becker County, Minnesota",1270,165
0600000US2700525820,2700525820,"Green Valley township, Becker County, Minnesota",368,52
0600000US2700526684,2700526684,"Hamden township, Becker County, Minnesota",191,42
0600000US2700528250,2700528250,"Height of Land township, Becker County, Minnesota",622,97
0600000US2700529816,2700529816,"Holmesville township, Becker County, Minnesota",532,91
0600000US2700534298,2700534298,"Lake Eunice township, Becker County, Minnesota",1415,152
0600000US2700534784,2700534784,"Lake Park city, Becker County, Minnesota",740,114
0600000US2700534802,2700534802,"Lake Park township, Becker County, Minnesota",490,74
0600000US2700535144,2700535144,"Lake View township, Becker County, Minnesota",1948,180
0600000US2700540130,2700540130,"Maple Grove township, Becker County, Minnesota",401,46
0600000US2700548130,2700548130,"Ogema city, Becker County, Minnesota",189,34
0600000US2700548778,2700548778,"Osage township, Becker County, Minnesota",785,86
0600000US2700551244,2700551244,"Pine Point township, Becker County, Minnesota",451,120
0600000US2700554142,2700554142,"Riceville township, Becker County, Minnesota",79,23
0600000US2700554376,2700554376,"Richwood township, Becker County, Minnesota",627,111
0600000US2700556050,2700556050,"Round Lake township, Becker County, Minnesota",133,29
0600000US2700556248,2700556248,"Runeberg township, Becker County, Minnesota",536,84
0600000US2700558756,2700558756,"Savannah township, Becker County, Minnesota",152,36
0600000US2700559512,2700559512,"Shell Lake township, Becker County, Minnesota",285,59
0600000US2700560430,2700560430,"Silver Leaf township, Becker County, Minnesota",558,106
0600000US2700561762,2700561762,"Spring Creek township, Becker County, Minnesota",128,27
0600000US2700562212,2700562212,"Spruce Grove township, Becker County, Minnesota",317,58
0600000US2700563256,2700563256,"Sugar Bush township, Becker County, Minnesota",536,69
0600000US2700565002,2700565002,"Toad Lake township, Becker County, Minnesota",662,104
0600000US2700566010,2700566010,"Two Inlets township, Becker County, Minnesota",301,71
0600000US2700567954,2700567954,"Walworth township, Becker County, Minnesota",91,40
0600000US2700570024,2700570024,"White Earth township, Becker County, Minnesota",805,91
0600000US2700571338,2700571338,"Wolf Lake city, Becker County, Minnesota",31,18
0600000US2700571356,2700571356,"Wolf Lake township, Becker County, Minnesota",224,58
0600000US2700700586,2700700586,"Alaska township, Beltrami County, Minnesota",222,62
0600000US2700703952,2700703952,"Battle township, Beltrami County, Minnesota",64,27
0600000US2700705068,2700705068,"Bemidji city, Beltrami County, Minnesota",14664,33
0600000US2700705086,2700705086,"Bemidji township, Beltrami County, Minnesota",3365,28
0600000US2700705284,2700705284,"Benville township, Beltrami County, Minnesota",78,22
0600000US2700705914,2700705914,"Birch township, Beltrami County, Minnesota",72,23
0600000US2700706256,2700706256,"Blackduck city, Beltrami County, Minnesota",796,127
0600000US2700707918,2700707918,"Brook Lake UT, Beltrami County, Minnesota",179,49
0600000US2700709082,2700709082,"Buzzle township, Beltrami County, Minnesota",251,39
0600000US2700713258,2700713258,"Cormant township, Beltrami County, Minnesota",142,34
0600000US2700717234,2700717234,"Durand township, Beltrami County, Minnesota",201,42
0600000US2700717954,2700717954,"Eckles township, Beltrami County, Minnesota",1479,177
0600000US2700722886,2700722886,"Frohn township, Beltrami County, Minnesota",1387,136
0600000US2700722976,2700722976,"Funkley city, Beltrami County, Minnesota",4,4
0600000US2700725352,2700725352,"Grant Valley township, Beltrami County, Minnesota",2449,187
0600000US2700726468,2700726468,"Hagali township, Beltrami County, Minnesota",331,57
0600000US2700726900,2700726900,"Hamre township, Beltrami County, Minnesota",7,4
0600000US2700729348,2700729348,"Hines township, Beltrami County, Minnesota",659,81
0600000US2700730194,2700730194,"Hornet township, Beltrami County, Minnesota",194,47
0600000US2700732120,2700732120,"Jones township, Beltrami County, Minnesota",200,52
0600000US2700732606,2700732606,"Kelliher city, Beltrami County, Minnesota",310,73
0600000US2700732624,2700732624,"Kelliher township, Beltrami County, Minnesota",124,33
0600000US2700735324,2700735324,"Lammers township, Beltrami County, Minnesota",607,99
0600000US2700735540,2700735540,"Langor township, Beltrami County, Minnesota",162,27
